Unnamed: 0,weight,prod_distance,time_delivery,target
2775,28.0,2043.0,5.0,577451.9627244101
3622,46.0,2074.0,8.0,641491.5212369472
501,64.0,2488.0,12.0,702897.6924644242
2417,10.0,1284.0,7.0,563122.4518735134
1218,64.0,2471.0,2.0,702393.7823521411
3960,10.0,1731.0,14.0,528909.3921824719
4051,19.0,1346.0,4.0,603547.3569504637
2931,55.0,2105.0,10.0,668281.1537311212
4519,82.0,2043.0,9.0,741131.1827244101
3229,55.0,2936.0,9.0,774274.2508572766
356,64.0,2936.0,3.0,800908.4908572766
1448,37.0,2471.0,8.0,615272.6123521412
3274,19.0,2631.0,14.0,563829.9979983787
1318,28.0,2028.0,2.0,578709.0247340297
56,19.0,1772.0,2.0,566389.0333498312
2292,73.0,2105.0,14.0,716324.0537311212
4626,82.0,2488.0,12.0,746041.5324644243
659,55.0,1284.0,8.0,735915.2518735133
4359,1.0,1772.0,13.0,481065.0733498312
4399,1.0,2043.0,6.0,455895.35272441007
3518,28.0,1161.0,8.0,634140.6249294311
522,1.0,2471.0,2.0,459547.0523521411
1753,82.0,1346.0,11.0,803916.3369504637
4696,19.0,1772.0,1.0,566416.0333498312
950,28.0,2028.0,12.0,577449.0247340297
2937,28.0,2135.0,14.0,570814.957966973
2113,37.0,2913.0,2.0,706978.0604500828
3317,46.0,2028.0,8.0,644558.0647340297
3530,73.0,2028.0,7.0,722406.6247340296
3447,28.0,1237.0,5.0,639930.31180528
1134,73.0,2796.0,6.0,783157.8012148325
608,1.0,2098.0,8.0,452264.44535776513
3277,37.0,2936.0,8.0,713706.7708572765
279,37.0,1734.0,1.0,642945.2566874628
2911,1.0,1237.0,7.0,518474.3218052801
2593,55.0,1459.0,7.0,730488.2939110985
3494,55.0,2043.0,2.0,672854.5727244101
143,46.0,1731.0,6.0,674684.552182472
3401,1.0,1237.0,4.0,518771.3218052801
2229,37.0,1161.0,1.0,669282.1149294311
1337,46.0,2680.0,6.0,678652.207679752
3696,64.0,2488.0,3.0,704112.6924644242
3289,82.0,2488.0,5.0,747112.5324644243
3439,10.0,2796.0,5.0,560617.3212148325
1340,55.0,1731.0,13.0,702281.342182472
3378,82.0,2700.0,13.0,779601.1314326304
4807,55.0,2471.0,6.0,676161.3923521412
91,28.0,1237.0,3.0,640074.31180528
2306,64.0,1237.0,13.0,759463.6318052801
3500,82.0,2680.0,11.0,775908.007679752
766,64.0,2135.0,7.0,693290.5579669729
199,28.0,1928.0,11.0,586185.7891183892
1382,19.0,2796.0,4.0,601251.9612148325
4630,64.0,1797.0,10.0,721262.3981415535
4213,1.0,1772.0,14.0,480822.0733498312
370,37.0,2135.0,14.0,605477.1079669729
3712,19.0,2680.0,11.0,573753.6076797519
2492,1.0,2501.0,1.0,462760.7999192636
1611,1.0,1459.0,1.0,514564.4339110986
1257,10.0,2913.0,9.0,593340.5504500828
3481,46.0,1284.0,10.0,706837.6918735134
2713,73.0,2913.0,14.0,815018.7404500827
3958,73.0,1335.0,4.0,785049.8653672726
3680,73.0,2501.0,12.0,727370.5199192637
2187,82.0,1797.0,12.0,763885.8581415537
3017,28.0,2631.0,11.0,602127.7879983787
751,46.0,1335.0,11.0,706578.4153672726
3178,73.0,2501.0,7.0,728225.5199192637
3299,73.0,2700.0,2.0,760953.1314326304
2744,55.0,1284.0,1.0,736482.2518735133
714,10.0,2700.0,11.0,537321.1314326305
1514,28.0,2680.0,4.0,612325.807679752
4064,19.0,2074.0,5.0,537872.5412369472
2473,1.0,1734.0,3.0,486873.01668746286
1411,19.0,2043.0,3.0,540026.0927244101
2779,28.0,1459.0,1.0,635864.3639110986
4496,1.0,1459.0,6.0,514249.4339110986
2820,55.0,2471.0,4.0,676341.3923521412
2338,55.0,2476.0,11.0,675900.4987274453
1793,73.0,1237.0,11.0,782812.9618052801
3441,19.0,2936.0,9.0,641169.2908572765
3414,19.0,2163.0,9.0,533263.1025970788
488,46.0,1772.0,11.0,669224.4733498312
2413,10.0,1783.0,6.0,524384.3658336187
4339,19.0,2118.0,5.0,535518.4124994893
2707,28.0,1804.0,5.0,600118.2118136714
3183,28.0,1467.0,11.0,634216.2902069426
4832,55.0,1797.0,11.0,695189.6681415535
3519,19.0,2231.0,7.0,532282.4940008646
856,1.0,1335.0,6.0,519812.66536727257
1371,19.0,1928.0,5.0,549490.2691183892
3744,64.0,1459.0,3.0,756701.6039110986
4127,10.0,2501.0,14.0,504448.8899192636
2772,46.0,1804.0,12.0,665395.9318136714
3507,28.0,2028.0,11.0,577656.0247340297
4644,73.0,1335.0,5.0,784968.8653672726
1161,46.0,2700.0,10.0,682194.1314326305
2952,82.0,2913.0,9.0,836205.9104500827
1792,1.0,2796.0,9.0,516643.6812148326
819,55.0,2913.0,11.0,766641.4004500827
1966,10.0,2700.0,10.0,537510.1314326305
1666,46.0,2488.0,13.0,647864.8524644242
1945,46.0,1734.0,8.0,674088.3166874629
4302,73.0,1783.0,4.0,746565.6558336186
1886,82.0,2631.0,13.0,766196.5279983788
2305,46.0,2098.0,14.0,638950.545357765
3525,55.0,2416.0,12.0,670419.1323281042
404,1.0,1797.0,1.0,479731.2881415536
593,82.0,2118.0,13.0,736022.7524994892
3262,82.0,1731.0,7.0,772246.712182472
2107,10.0,1772.0,11.0,524874.5533498311
2466,10.0,2913.0,2.0,594033.5504500828
3661,37.0,2680.0,12.0,645885.007679752
687,55.0,1772.0,8.0,698534.9533498312
1878,28.0,1797.0,1.0,601122.4781415536
4526,37.0,2118.0,5.0,607755.6524994893
4103,10.0,1731.0,13.0,529152.3921824719
733,55.0,2476.0,4.0,676845.4987274453
1265,10.0,1567.0,2.0,548628.9649412772
4345,46.0,1346.0,6.0,707140.7769504638
1982,37.0,2680.0,2.0,647145.007679752
604,82.0,1783.0,3.0,766679.1258336187
3896,1.0,2043.0,3.0,456138.35272441007
2007,28.0,1731.0,5.0,608447.972182472
1032,28.0,1731.0,11.0,607583.972182472
3212,73.0,2913.0,2.0,816746.7404500827
161,10.0,2163.0,11.0,492406.43259707873
2767,73.0,1346.0,5.0,784769.1969504637
1580,73.0,2135.0,13.0,715208.707966973
89,10.0,2796.0,7.0,560401.3212148325
19,1.0,2105.0,7.0,452035.4537311212
3258,82.0,2074.0,5.0,739645.1612369472
658,19.0,2416.0,8.0,538221.3723281042
3536,64.0,2471.0,1.0,702420.7823521411
3329,64.0,2476.0,10.0,702034.3387274452
1225,46.0,2476.0,14.0,646364.6587274452
4354,82.0,1797.0,13.0,763660.8581415537
2153,10.0,2416.0,1.0,498268.9323281041
205,28.0,1284.0,3.0,641401.5718735134
4265,19.0,1734.0,12.0,569490.1366874628
1352,46.0,2118.0,13.0,638204.2724994892
3902,73.0,2118.0,6.0,717139.1324994892
2962,1.0,2476.0,13.0,458563.4587274453
2627,1.0,2936.0,5.0,557624.8108572764
2764,28.0,2163.0,10.0,570672.7725970788
3197,55.0,2796.0,3.0,734369.5212148326
3670,37.0,1928.0,3.0,621837.3091183892
4250,1.0,2163.0,1.0,450073.7625970788
3468,10.0,2118.0,5.0,495025.7924994892
3116,55.0,1284.0,12.0,735195.2518735133
1479,46.0,2471.0,13.0,646104.0023521412
2157,64.0,2476.0,1.0,702925.3387274452
364,82.0,1804.0,4.0,764253.3718136714
3298,46.0,2074.0,7.0,641626.5212369472
3550,19.0,2231.0,1.0,532714.4940008646
816,46.0,2231.0,14.0,634971.8640008646
1998,10.0,1772.0,13.0,524442.5533498311
4312,37.0,2074.0,2.0,610290.8612369471
2451,64.0,2028.0,1.0,699850.1047340297
3714,73.0,2105.0,3.0,718007.0537311212
4334,64.0,1783.0,12.0,722447.1858336186
1897,73.0,2471.0,10.0,724558.172352141
3380,19.0,2105.0,4.0,536231.3537311212
4806,37.0,2135.0,9.0,606512.1079669729
3170,10.0,2913.0,6.0,593745.5504500828
4349,46.0,2680.0,9.0,678247.207679752
329,73.0,1731.0,10.0,751741.922182472
4685,82.0,1731.0,2.0,772651.712182472
3695,28.0,2135.0,8.0,572002.957966973
3600,10.0,2501.0,2.0,506176.8899192636
1770,10.0,2098.0,2.0,496211.26535776514
2960,73.0,1161.0,13.0,776908.0749294312
4258,19.0,2936.0,2.0,641862.2908572765
2759,28.0,2501.0,2.0,584315.0699192637
1231,82.0,1804.0,11.0,763308.3718136714
619,1.0,2028.0,9.0,456562.4647340298
4191,64.0,2118.0,11.0,693377.5124994892
1300,37.0,2043.0,3.0,612249.8327244101
3293,28.0,1928.0,14.0,585510.7891183892
4555,1.0,1467.0,8.0,513427.20020694257
2202,37.0,2416.0,2.0,611052.2523281042
735,19.0,2135.0,13.0,533479.8079669729
2388,28.0,1772.0,3.0,603889.5133498312
4114,10.0,1335.0,13.0,561953.8153672726
2172,64.0,2471.0,13.0,700908.7823521411
3426,64.0,1772.0,13.0,723471.4333498311
549,73.0,2680.0,8.0,756289.807679752
2376,1.0,1804.0,12.0,477654.1318136714
3861,46.0,2028.0,2.0,645098.0647340297
774,64.0,1237.0,14.0,759220.6318052801
1699,73.0,1734.0,1.0,752289.4966874628
3991,19.0,1772.0,14.0,564661.0333498312
3294,46.0,1783.0,5.0,668837.2458336187
449,82.0,1567.0,4.0,790417.2049412772
2754,19.0,2913.0,12.0,633337.7204500827
3559,1.0,2163.0,4.0,449938.7625970788
1758,10.0,1734.0,11.0,529239.0766874629
2769,82.0,1567.0,2.0,790525.2049412772
3560,46.0,2680.0,5.0,678751.207679752
3583,46.0,2936.0,10.0,745201.0108572766
2895,10.0,1284.0,12.0,562267.4518735134
4401,19.0,1237.0,4.0,602513.9818052801
1081,37.0,2231.0,10.0,604081.0740008645
4,37.0,1335.0,3.0,675912.2653672725
2663,37.0,2913.0,3.0,706933.0604500828
979,82.0,1928.0,14.0,749631.9091183891
233,82.0,2043.0,5.0,741635.1827244101
142,82.0,1734.0,5.0,772119.5566874628
2359,73.0,2231.0,6.0,714180.2340008646
1952,46.0,2074.0,6.0,641743.5212369472
188,64.0,2118.0,14.0,692702.5124994892
4475,73.0,2043.0,7.0,721345.3127244101
3999,28.0,2231.0,5.0,570085.2840008646
162,82.0,2098.0,10.0,737625.8253577651
1749,37.0,2416.0,7.0,610647.2523281042
812,64.0,1731.0,9.0,728951.1321824719
1173,37.0,1161.0,13.0,667770.1149294311
4024,37.0,2796.0,5.0,673530.2412148325
50,28.0,2105.0,9.0,573221.8037311212
865,19.0,1928.0,14.0,547951.2691183892
4428,28.0,1804.0,8.0,599767.2118136714
2770,19.0,2028.0,11.0,540087.5047340296
1509,28.0,2471.0,11.0,580067.222352141
3365,10.0,2098.0,14.0,494483.26535776514
177,55.0,1567.0,8.0,721144.1149412772
424,55.0,1783.0,14.0,696096.7158336187
1706,28.0,2163.0,1.0,571563.7725970788
2929,64.0,2416.0,14.0,695890.5723281042
3826,73.0,1284.0,6.0,784926.3718735133
3050,82.0,2098.0,13.0,737004.8253577651
158,82.0,1467.0,14.0,797413.4702069425
667,73.0,1783.0,2.0,746673.6558336186
1882,28.0,2098.0,13.0,572791.905357765
1135,82.0,1797.0,4.0,765037.8581415537
2818,28.0,2913.0,8.0,671705.8904500827
1956,1.0,1335.0,13.0,518615.66536727257
4235,55.0,1797.0,10.0,695378.6681415535
489,82.0,1161.0,5.0,798198.5649294312
1016,10.0,2936.0,7.0,600891.0508572765
4027,1.0,2028.0,12.0,455995.4647340298
971,64.0,1346.0,4.0,761923.0569504637
4732,10.0,2501.0,10.0,505312.8899192636
3950,73.0,1459.0,13.0,778198.9139110985
2833,1.0,2796.0,12.0,516076.6812148326
3802,1.0,1237.0,3.0,518834.3218052801
3359,64.0,1928.0,12.0,707056.8691183892
611,55.0,2098.0,9.0,668812.3653577651
4865,37.0,2098.0,1.0,608962.7253577651
2036,55.0,1772.0,2.0,699074.9533498312
4318,64.0,2471.0,9.0,701700.7823521411
3093,1.0,2105.0,14.0,450712.4537311212
138,46.0,1237.0,6.0,706077.9718052801
2249,64.0,1161.0,9.0,754789.5849294312
4834,73.0,2501.0,8.0,728090.5199192637
1969,37.0,2105.0,4.0,608466.2537311212
1472,1.0,1346.0,10.0,519029.07695046376
2580,46.0,2135.0,11.0,637898.2579669729
4777,28.0,2700.0,14.0,614820.1314326305
1004,28.0,2105.0,8.0,573374.8037311212
4367,55.0,1237.0,14.0,733387.30180528
1597,19.0,2680.0,12.0,573546.6076797519
2205,82.0,1335.0,5.0,804979.0153672725
2486,73.0,2074.0,2.0,719757.5012369471
1812,19.0,1567.0,4.0,588963.9949412772
4846,1.0,1783.0,10.0,480429.8958336187
817,73.0,2700.0,10.0,760089.1314326304
1394,82.0,1459.0,9.0,799012.2239110986
3168,64.0,2796.0,10.0,759524.1612148324
718,1.0,1928.0,6.0,465524.22911838925
4634,82.0,1928.0,2.0,751359.9091183891
3362,37.0,1335.0,8.0,675417.2653672725
3793,46.0,2098.0,10.0,639814.545357765
3304,82.0,1783.0,1.0,766751.1258336187
4243,10.0,1567.0,6.0,548340.9649412772
354,82.0,2416.0,4.0,740641.4523281042
3959,46.0,1928.0,9.0,652916.8291183892
2788,10.0,1928.0,3.0,509158.7491183892
1126,73.0,2105.0,1.0,718079.0537311212
308,46.0,2028.0,9.0,644405.0647340297
834,64.0,1161.0,13.0,753997.5849294312
2505,28.0,1734.0,5.0,608103.1966874629
4376,37.0,2098.0,12.0,607675.7253577651
3907,10.0,1772.0,4.0,525819.5533498311
2296,19.0,2416.0,13.0,537276.3723281042
1608,82.0,1467.0,4.0,799033.4702069425
760,19.0,2028.0,7.0,540735.5047340296
2815,73.0,2028.0,9.0,722118.6247340296
2131,1.0,1459.0,9.0,513844.4339110986
1223,37.0,2231.0,13.0,603460.0740008645
4171,37.0,2471.0,6.0,615524.6123521412
713,64.0,2043.0,5.0,698571.4427244101
2634,82.0,1335.0,6.0,804880.0153672725
282,28.0,1928.0,9.0,586545.7891183892
1851,55.0,2796.0,13.0,732929.5212148326
2342,73.0,2501.0,6.0,728342.5199192637
4740,37.0,1804.0,8.0,634399.5718136714
3842,10.0,1772.0,6.0,525639.5533498311
1629,28.0,2488.0,10.0,582014.0124644242
3221,82.0,1928.0,11.0,750306.9091183891
2681,82.0,1335.0,14.0,803440.0153672725
2674,82.0,1237.0,11.0,802814.29180528
394,55.0,2680.0,7.0,707414.407679752
4146,10.0,2163.0,4.0,493351.43259707873
689,64.0,2028.0,13.0,698338.1047340297
1950,55.0,2135.0,10.0,666917.4079669729
1310,55.0,1237.0,3.0,735070.30180528
4837,10.0,1346.0,2.0,563232.2169504637
459,55.0,1928.0,12.0,681161.3491183892
3437,37.0,1567.0,5.0,661021.0549412773
3889,46.0,2501.0,9.0,650096.2499192636
1501,55.0,2105.0,6.0,668857.1537311212
2035,82.0,1567.0,7.0,790120.2049412772
2415,73.0,1783.0,9.0,745980.6558336186
505,1.0,2074.0,3.0,454123.2212369471
1058,46.0,2488.0,3.0,649304.8524644242
2918,19.0,2680.0,7.0,574401.6076797519
756,82.0,1804.0,2.0,764361.3718136714
70,37.0,2105.0,2.0,608574.2537311212
498,64.0,2416.0,13.0,696133.5723281042
1777,10.0,1237.0,5.0,562019.65180528
1450,64.0,1161.0,1.0,755509.5849294312
4754,73.0,2028.0,12.0,721551.6247340296
4584,37.0,2501.0,9.0,618317.1599192637
4481,37.0,2488.0,10.0,616707.9324644243
4346,37.0,1783.0,12.0,636051.7758336186
3805,19.0,2471.0,11.0,542458.832352141
2281,19.0,2471.0,7.0,543106.832352141
4560,1.0,1237.0,8.0,518339.3218052801
799,28.0,2796.0,2.0,638997.6012148325
3971,37.0,1731.0,7.0,642857.7621824719
622,64.0,2471.0,10.0,701529.7823521411
1405,28.0,1335.0,12.0,640107.1153672726
547,19.0,2471.0,14.0,541783.832352141
3449,46.0,2913.0,7.0,738389.2304500827
2617,82.0,2135.0,10.0,735911.8579669729
4527,82.0,2631.0,3.0,767636.5279983788
4602,64.0,1772.0,11.0,723903.4333498311
92,10.0,2074.0,13.0,496087.8812369472
4393,82.0,1284.0,7.0,804814.9318735134
2551,28.0,1734.0,7.0,607887.1966874629
4275,28.0,2043.0,8.0,577100.9627244101
4163,19.0,1772.0,12.0,565129.0333498312
4151,55.0,2501.0,5.0,679463.3399192637
3203,46.0,2936.0,2.0,746065.0108572766
3786,1.0,1237.0,12.0,517619.3218052801
1188,82.0,2488.0,14.0,745573.5324644243
3323,10.0,2043.0,3.0,499540.22272441006
3000,64.0,2416.0,3.0,697573.5723281042
1180,64.0,1772.0,8.0,724416.4333498311
1881,82.0,2913.0,12.0,835638.9104500827
4340,37.0,1335.0,9.0,675264.2653672725
1482,82.0,2098.0,8.0,737949.8253577651
1208,46.0,2105.0,3.0,640272.7037311213
3713,37.0,1567.0,9.0,660517.0549412773
2625,1.0,2135.0,11.0,450007.5079669729
2023,19.0,1928.0,8.0,549139.2691183892
2709,82.0,2700.0,4.0,780978.1314326304
2706,1.0,2231.0,8.0,448225.9140008646
3347,46.0,1772.0,9.0,669584.4733498312
3784,55.0,1335.0,12.0,735129.5653672726
176,28.0,1797.0,12.0,599835.4781415536
4778,64.0,2135.0,1.0,693722.5579669729
2629,19.0,2416.0,3.0,538716.3723281042
4686,37.0,2135.0,6.0,606917.1079669729
2797,46.0,2476.0,10.0,647228.6587274452
2661,37.0,1346.0,12.0,674493.6369504638
2257,73.0,1161.0,9.0,777700.0749294312
2531,64.0,2913.0,9.0,792985.5704500827
431,73.0,2043.0,8.0,721210.3127244101
3454,10.0,2700.0,3.0,538329.1314326305
103,28.0,2501.0,8.0,583775.0699192637
4624,28.0,2631.0,10.0,602316.7879983787
4691,46.0,1237.0,11.0,705312.9718052801
2272,82.0,1237.0,5.0,803678.29180528
1836,73.0,2476.0,2.0,725927.1787274452
4654,55.0,2135.0,13.0,666296.4079669729
1285,55.0,2796.0,10.0,733550.5212148326
1413,10.0,2163.0,14.0,491731.43259707873
3995,1.0,2043.0,8.0,455643.35272441007
4369,1.0,2135.0,2.0,451060.5079669729
1189,46.0,1797.0,10.0,666578.9381415535
1263,64.0,1928.0,1.0,708343.8691183892
669,55.0,2416.0,6.0,671391.1323281042
1178,28.0,2631.0,13.0,601695.7879983787
1466,28.0,1161.0,7.0,634275.6249294311
3783,55.0,2700.0,1.0,711966.1314326305
1595,55.0,1928.0,6.0,682133.3491183892
4377,73.0,1335.0,2.0,785157.8653672726
4074,19.0,2098.0,8.0,536162.0853577651
4441,1.0,2680.0,3.0,490759.2076797519
2544,37.0,1783.0,4.0,637203.7758336186
3234,19.0,1467.0,5.0,597562.2602069426
2860,28.0,2913.0,4.0,672137.8904500827
1843,19.0,2043.0,14.0,538343.0927244101
1447,19.0,1459.0,14.0,596592.0539110985
3462,73.0,1567.0,1.0,770521.1749412772
1167,55.0,2488.0,10.0,677347.7724644243
3112,64.0,1567.0,4.0,747439.1449412772
1338,73.0,1804.0,4.0,744201.0118136714
4463,82.0,1783.0,10.0,765860.1258336187
3685,64.0,2135.0,12.0,692435.5579669729
1042,19.0,2913.0,8.0,634057.7204500827
1015,37.0,2231.0,3.0,604900.0740008645
2835,46.0,1772.0,13.0,668792.4733498312
1905,82.0,1772.0,4.0,767863.3933498312
4343,46.0,2231.0,7.0,636294.8640008646
4878,1.0,2796.0,11.0,516283.6812148326
1804,28.0,2416.0,1.0,576391.8123281042
309,19.0,2913.0,6.0,634309.7204500827
560,55.0,1731.0,9.0,703073.342182472
4454,19.0,2135.0,9.0,534271.8079669729
4150,28.0,2098.0,6.0,573988.905357765
2927,73.0,1467.0,13.0,777634.4402069426
4583,28.0,2416.0,9.0,575671.8123281042
3207,19.0,2118.0,1.0,535734.4124994893
1171,1.0,2488.0,10.0,460436.2524644242
822,64.0,2913.0,1.0,793705.5704500827
992,10.0,1804.0,12.0,521034.4918136714
4590,46.0,1161.0,7.0,700508.6049294312
2494,82.0,1346.0,2.0,804969.3369504637
4158,64.0,2028.0,12.0,698563.1047340297
4155,46.0,2471.0,5.0,647400.0023521412
926,73.0,1284.0,9.0,784521.3718735133
2510,37.0,2913.0,8.0,706438.0604500828
1847,19.0,1161.0,5.0,597001.1349294311
4811,64.0,1731.0,3.0,729599.1321824719
3256,82.0,2476.0,2.0,746040.0187274452
2953,46.0,2631.0,10.0,668814.3679983787
3194,82.0,1459.0,2.0,799705.2239110986
4081,28.0,2135.0,2.0,572542.957966973
2210,19.0,1804.0,5.0,562569.8518136714
1462,73.0,1928.0,2.0,731296.3891183891
4156,73.0,1161.0,6.0,778105.0749294312
4715,19.0,2488.0,14.0,543540.0924644242
3025,1.0,2135.0,13.0,449575.5079669729
4436,37.0,2135.0,13.0,605720.1079669729
4000,37.0,2043.0,10.0,611430.8327244101
4573,28.0,1284.0,11.0,640393.5718735134
2059,46.0,2913.0,9.0,738101.2304500827
3984,46.0,2913.0,10.0,737930.2304500827
1148,64.0,1237.0,4.0,760840.6318052801
128,46.0,2796.0,4.0,705416.8812148325
1644,55.0,2796.0,7.0,734009.5212148326
846,19.0,2476.0,1.0,544041.1387274452
3214,82.0,1783.0,6.0,766436.1258336187
147,73.0,2488.0,13.0,725702.6124644242
3704,82.0,1804.0,7.0,763956.3718136714
528,73.0,2488.0,4.0,727079.6124644242
3575,1.0,1731.0,3.0,487218.602182472
1055,46.0,2936.0,7.0,745660.0108572766
1467,64.0,2416.0,10.0,696754.5723281042
479,64.0,1237.0,5.0,760759.6318052801
980,55.0,1161.0,2.0,729656.0949294312
1542,64.0,2135.0,2.0,693695.5579669729
772,64.0,2028.0,7.0,699418.1047340297
2039,10.0,1731.0,7.0,530232.3921824719
1116,73.0,2135.0,4.0,716585.707966973
4687,10.0,2501.0,6.0,505888.8899192636
2213,64.0,1567.0,6.0,747259.1449412772
3893,19.0,1567.0,12.0,587811.9949412772
3654,64.0,1161.0,7.0,755077.5849294312
651,64.0,1567.0,2.0,747547.1449412772
4112,82.0,1346.0,6.0,804681.3369504637
4714,19.0,1346.0,9.0,602962.3569504637
1334,82.0,1797.0,14.0,763417.8581415537
1159,37.0,2700.0,13.0,649776.1314326305
4784,1.0,2796.0,6.0,517048.6812148326
4141,73.0,1734.0,14.0,750534.4966874628
1783,19.0,2118.0,7.0,535302.4124994893
3295,1.0,1567.0,1.0,505296.9349412772
4622,28.0,2118.0,6.0,572996.0324994893
4523,28.0,1161.0,5.0,634491.6249294311
66,73.0,2476.0,12.0,724667.1787274452
4557,19.0,1467.0,4.0,597643.2602069426
2752,82.0,1567.0,10.0,789661.2049412772
2192,28.0,1928.0,1.0,587265.7891183892
3272,1.0,2105.0,3.0,452395.4537311212
2285,1.0,2680.0,12.0,489544.2076797519
1888,1.0,1804.0,8.0,478374.1318136714
491,37.0,1459.0,1.0,670465.6739110985
1221,10.0,1734.0,14.0,528564.0766874629
4025,1.0,2680.0,6.0,490516.2076797519
1591,55.0,2135.0,12.0,666521.4079669729
3425,73.0,1567.0,10.0,769630.1749412772
1359,64.0,1335.0,14.0,760503.7153672726
334,64.0,2501.0,1.0,705626.4299192637
2514,10.0,1804.0,11.0,521241.4918136714
1152,46.0,2796.0,2.0,705524.8812148325
4819,82.0,1237.0,9.0,803174.29180528
1811,37.0,1284.0,5.0,675843.1318735133
4477,46.0,2135.0,10.0,638087.2579669729
3505,37.0,1237.0,1.0,674727.64180528
2644,82.0,2913.0,4.0,836790.9104500827
426,28.0,1734.0,2.0,608292.1966874629
4647,82.0,2416.0,13.0,739264.4523281042
296,64.0,1284.0,9.0,761599.8118735134
3477,1.0,2631.0,3.0,481519.4179983788
1642,73.0,2074.0,8.0,719217.5012369471
1621,82.0,1459.0,10.0,798841.2239110986
2412,64.0,1467.0,4.0,756073.4102069426
3982,73.0,2488.0,3.0,727142.6124644242
1344,82.0,2098.0,7.0,738084.8253577651
1302,73.0,1734.0,9.0,751569.4966874628
1163,19.0,2488.0,1.0,545295.0924644242
125,19.0,1346.0,8.0,603115.3569504637
2527,37.0,2796.0,1.0,673746.2412148325
843,37.0,2416.0,9.0,610359.2523281042
2212,1.0,1161.0,14.0,511733.1549294312
1789,46.0,2471.0,2.0,647589.0023521412
2826,19.0,1797.0,1.0,563574.7481415536
2268,1.0,1734.0,14.0,485190.01668746286
4176,82.0,1237.0,12.0,802607.29180528
1379,10.0,1346.0,11.0,562179.2169504637
4529,37.0,2471.0,10.0,614948.6123521412
4606,10.0,1237.0,10.0,561344.65180528
4827,19.0,1731.0,12.0,569835.182182472
2240,64.0,2471.0,14.0,700665.7823521411
110,46.0,2163.0,8.0,637410.1125970788
2588,82.0,1284.0,3.0,805174.9318735134
4254,73.0,2098.0,6.0,718123.0053577651
4656,19.0,1459.0,8.0,597780.0539110985
3730,10.0,1284.0,4.0,563419.4518735134
3915,82.0,2416.0,11.0,739696.4523281042
523,10.0,2118.0,6.0,494926.7924994892
1429,37.0,2796.0,14.0,671991.2412148325
4700,46.0,2028.0,12.0,643838.0647340297
1014,28.0,2680.0,8.0,611893.807679752
1724,82.0,1161.0,7.0,797982.5649294312
1880,28.0,2700.0,13.0,615063.1314326305
4416,10.0,1804.0,5.0,522105.4918136714
1023,1.0,1804.0,9.0,478221.1318136714
1884,28.0,1797.0,2.0,601095.4781415536
4209,28.0,1346.0,3.0,641117.4969504637
418,55.0,2105.0,1.0,669172.1537311212
